morpheme,occurrence,type
pent,14,neoclassical
sterno,14,neoclassical
ischio,14,neoclassical
rostro,14,neoclassical
medico,14,neoclassical
vestibulo,14,neoclassical
septo,14,neoclassical
odonto,14,neoclassical
she,13,
wan,13,
linguo,13,neoclassical
physico,13,neoclassical
matri,13,neoclassical
hex,13,neoclassical
ilio,13,neoclassical
adreno,13,neoclassical
haemato,13,neoclassical
undeca,13,neoclassical
orbito,13,neoclassical
parieto,13,neoclassical
phago,13,neoclassical
sphero,13,neoclassical
poro,13,neoclassical
thoraco,13,neoclassical
spleno,13,neoclassical
irido,13,neoclassical
tropho,13,neoclassical
plumbo,13,neoclassical
aorto,13,neoclassical
meningo,13,neoclassical
duodeno,13,neoclassical
chemico,13,neoclassical
patri,12,neoclassical
all,12,
tricho,12,neoclassical
telo,12,neoclassical
gyno,12,neoclassical
cholecysto,12,neoclassical
lexico,12,neoclassical
blasto,12,neoclassical
glycero,12,neoclassical
sympatho,12,neoclassical
brady,12,neoclassical
myxo,12,neoclassical
calcio,12,neoclassical
maxillo,12,neoclassical
ophthalmo,12,neoclassical
thanato,12,neoclassical
info,12,
vasculo,12,neoclassical
des,11,neoclassical
bathy,11,neoclassical
ventriculo,11,neoclassical
dolicho,11,neoclassical
mangano,11,neoclassical
terato,11,neoclassical
anhydro,11,neoclassical
azido,11,neoclassical
lumbo,11,neoclassical
tachy,11,neoclassical
ot,11,
urethro,11,neoclassical
tibio,11,neoclassical
archeo,11,neoclassical
fluo,11,neoclassical
politico,11,neoclassical
hyo,11,neoclassical
pyo,11,neoclassical
acetyl,11,neoclassical
nemato,11,neoclassical
vagino,11,neoclassical
calcaneo,11,neoclassical
synapto,11,neoclassical
colpo,11,neoclassical
genito,10,neoclassical
ac,10,
i,10,
philo,10,neoclassical
eury,10,
opistho,10,neoclassical
mytho,10,neoclassical
ergo,10,neoclassical
chole,10,neoclassical
Judeo,10,
acousto,10,neoclassical
desoxy,10,neoclassical
ano,10,neoclassical
excito,10,neoclassical
axo,10,neoclassical
peptido,10,neoclassical
vertebro,10,neoclassical
brachio,10,neoclassical
mercapto,10,neoclassical
chito,10,neoclassical
teleo,10,neoclassical
klepto,10,neoclassical
fluor,10,neoclassical
sulfa,10,neoclassical
zymo,10,neoclassical
humero,10,neoclassical
cerebello,10,neoclassical
echo,10,neoclassical
acido,10,neoclassical
hexadeca,9,neoclassical
dento,9,neoclassical
Islamo,9,
antho,9,neoclassical
race,9,
phyllo,9,neoclassical
hystero,9,neoclassical
psychro,9,neoclassical
he,9,
insta,9,
pachy,9,neoclassical
sino,9,neoclassical
ethmo,9,neoclassical
thalamo,9,neoclassical
onycho,9,neoclassical
dichloro,9,neoclassical
amnio,9,neoclassical
glomerulo,9,neoclassical
anthro,9,neoclassical
chryso,9,neoclassical
spermato,9,neoclassical
auriculo,9,neoclassical
geronto,9,neoclassical
musico,9,neoclassical
cilio,9,neoclassical
limno,9,neoclassical
zoö,8,
atrio,8,neoclassical
magnet,8,
religio,8,
gono,8,neoclassical
meio,8,neoclassical
flavo,8,neoclassical
J,8,
plano,8,neoclassical
oleo,8,neoclassical
scapulo,8,neoclassical
paedo,8,neoclassical
synchro,8,neoclassical
hygro,8,neoclassical
cholangio,8,neoclassical
tomo,8,neoclassical
trigemino,8,neoclassical
preter,8,neoclassical
methoxy,8,neoclassical
platy,8,neoclassical
glosso,8,neoclassical
galvano,8,neoclassical
enviro,8,neoclassical
pilo,8,neoclassical
pyelo,8,neoclassical
flexo,8,neoclassical
molybdo,8,neoclassical
techni,8,neoclassical
striato,8,neoclassical
natro,8,neoclassical
skeleto,8,neoclassical
dacryo,8,neoclassical
maxi,8,neoclassical
full,8,neoclassical
tympano,8,neoclassical
zygomatico,8,neoclassical
met,8,neoclassical
trideca,8,neoclassical
corneo,8,neoclassical
femoro,8,neoclassical
metro,8,neoclassical
phaco,8,neoclassical
pancreato,8,neoclassical
facio,8,neoclassical
alveolo,8,neoclassical
granulo,8,neoclassical
embryo,8,neoclassical
sapro,8,neoclassical
axio,8,neoclassical
tetrahydro,8,neoclassical
tetr,8,neoclassical
al,7,neoclassical
avi,7,neoclassical
Austro,7,
econo,7,neoclassical
osseo,7,neoclassical
V,7,
gameto,7,neoclassical
pene,7,neoclassical
logo,7,neoclassical
derma,7,neoclassical
quarter,7,neoclassical
strato,7,neoclassical
ar,7,neoclassical
oct,7,neoclassical
lev,7,neoclassical
Fitz,7,
gravito,7,neoclassical
amylo,7,neoclassical
fructo,7,neoclassical
calci,7,neoclassical
atropo,7,neoclassical
zinco,7,neoclassical
palyno,7,neoclassical
scoto,7,neoclassical
stylo,7,neoclassical
uveo,7,neoclassical
carcino,7,neoclassical
papulo,7,neoclassical
io,7,neoclassical
squamo,7,neoclassical
bulbo,7,neoclassical
thorough,7,neoclassical
bismuto,7,neoclassical
tris,7,neoclassical
laevo,7,neoclassical
porto,7,neoclassical
talo,7,neoclassical
pancreatico,7,neoclassical
speleo,7,neoclassical
demo,7,neoclassical
ovi,7,neoclassical
ulno,7,neoclassical
hydr,7,neoclassical
pallido,7,neoclassical
hind,7,
franken,6,
Inver,6,
ch,6,
alumino,6,neoclassical
steno,6,neoclassical
astragalo,6,neoclassical
phlebo,6,neoclassical
blepharo,6,neoclassical
servo,6,neoclassical
dorsi,6,neoclassical
even,6,neoclassical
semio,6,neoclassical
ever,6,neoclassical
bin,6,
ligno,6,neoclassical
allelo,6,neoclassical
Christo,6,
rhabdo,6,neoclassical
procto,6,neoclassical
rhamno,6,neoclassical
malto,6,neoclassical
ideo,6,neoclassical
gnatho,6,neoclassical
k,6,
twin,6,neoclassical
materno,6,neoclassical
tono,6,neoclassical
hadro,6,neoclassical
ptero,6,neoclassical
grapho,6,neoclassical
carpo,6,neoclassical
gonio,6,neoclassical
auxo,6,neoclassical
inguino,6,neoclassical
ali,6,neoclassical
nutri,6,neoclassical
centri,6,neoclassical
fluvio,6,neoclassical
thigmo,6,neoclassical
yttro,6,neoclassical
stibio,6,neoclassical
kineto,6,neoclassical
jejuno,6,neoclassical
vitreo,6,neoclassical
crico,6,neoclassical
lieno,6,neoclassical
podo,6,neoclassical
septi,6,neoclassical
plagio,6,neoclassical
mento,6,neoclassical
phyco,6,neoclassical
ganglio,6,neoclassical
onto,6,neoclassical
sinistro,6,neoclassical
tephro,6,neoclassical
cochleo,6,neoclassical
geniculo,6,neoclassical
capsulo,6,neoclassical
lyo,6,neoclassical
laparo,6,neoclassical
fem,6,neoclassical
